"control_number","specific","generic","qty","origin","description","ship_date"
"2013395795","","OYSTER",2808,"CN","SPR","2014-01-02"
"2014396430","","TRITON",736,"CN","SPR","2014-01-01"
"2014396430","GIANT","SCALLOP",736,"CN","SPR","2014-01-01"
"2014396430","FROG","SHELL",736,"CN","SPR","2014-01-01"
"2014396430","","ARK",1984,"CN","SPR","2014-01-01"
"2014396430","VERTAGUS","SHELL",1984,"CN","SPR","2014-01-01"
"2014396430","","SHELL",1984,"CN","SPR","2014-01-01"
"2014396674","CAPIZ","SHELL",246,"IN","SPR","2014-01-04"
"2014396703","","STARFISH",11004,"PH","BOD","2014-01-05"
"2014396703","LITTLE BEAR","CONCH",6000,"PH","SPR","2014-01-05"
"2014397655","AMERICAN BLACK","BEAR",1,"CA","RUG","2014-01-02"
"2014398130","CAPIZ","SHELL",606,"PH","SPR","2014-01-09"
"2014398307","","BLESBOK",1,"ZA","TRO","2014-01-05"
"2014398307","BLUE","WILDEBEEST",1,"ZA","TRO","2014-01-05"
"2014398307","","GEMSBOK",1,"ZA","TRO","2014-01-05"
"2014398307","COMMON","WARTHOG",1,"ZA","TRO","2014-01-05"
"2014398307","BURCHELL'S","ZEBRA",1,"ZA","TRO","2014-01-05"
"2014398308","BLUE","WILDEBEEST",1,"ZA","TRO","2014-01-05"
"2014398308","","IMPALA",1,"ZA","TRO","2014-01-05"
"2014398308","GREATER","KUDU",1,"ZA","TRO","2014-01-05"
"2014398308","COMMON","WARTHOG",1,"ZA","TRO","2014-01-05"
"2014398308","","WATERBUCK",1,"ZA","TRO","2014-01-05"
"2014398709","COMMON","PHEASANT",2448,"CN","FEA","2014-01-09"
"2014398709","SOUTHERN AFRICAN","OSTRICH",3024,"ZA","FEA","2014-01-09"
"2014398951","OLIVE","FLOUNDER",154,"KR","LIV","2014-01-08"
"2014398951","","SEA PINEAPPLE",160,"KR","LIV","2014-01-08"
"2014399220","CAPIZ","SHELL",75,"ID","SPR","2014-01-10"
"2014399221","CAPIZ","SHELL",3264,"ID","SPR","2014-01-10"
"2014399267","CRABS,LOBSTERS,","CRUSTACEANS",118,"PH","LIV","2014-01-09"
"2014399267","SHELLS","MOLLUSCS",71,"PH","LIV","2014-01-09"
"2014399389","PEARL","MUSSEL",1200,"CN","SPR","2014-01-05"
"2014399512","GREAT PEARL","OYSTER",555,"PH","JWL","2014-01-08"
"2014399512","ABALONE","SHELL",601,"NZ","JWL","2014-01-08"
"2014399512","","OYSTER",148,"PF","JWL","2014-01-08"
"2014399512","","SEA FAN",3,"CN","JWL","2014-01-08"
"2014399512","","OYSTER",55,"PH","JWL","2014-01-08"
"2014399516","RADIATED RAT","SNAKE",600,"ID","SHO","2014-01-08"
"2014400123","PEARL","MUSSEL",15,"VN","SPR","2014-01-10"
"2014400123","GREAT PEARL","OYSTER",222,"VN","SPR","2014-01-10"
"2014400137","GREAT PEARL","OYSTER",65,"VN","SPR","2014-01-10"
"2014400147","","TURBAN",312,"CN","SPR","2014-01-09"
"2014400147","SEA","SNAIL",312,"CN","SPR","2014-01-09"
"2014400147","","STARFISH",1560,"CN","BOD","2014-01-09"
"2014400147","","ARK",312,"CN","SPR","2014-01-09"
"2014400343","CRABS,LOBSTERS,","CRUSTACEANS",136,"ID","LIV","2014-01-09"
"2014400343","SHELLS","MOLLUSCS",556,"ID","LIV","2014-01-09"
"2014400343","","CRUSTACEAN",208,"ID","LIV","2014-01-09"
"2014400343","STAGHORN","CORAL",8,"ID","LIV","2014-01-09"
"2014400343","STAGHORN","CORAL",1,"ID","LIV","2014-01-09"
"2014400343","STAGHORN","CORAL",1,"ID","LIV","2014-01-09"
"2014400343","STAGHORN","CORAL",10,"ID","LIV","2014-01-09"
"2014400343","STAGHORN","CORAL",1,"ID","LIV","2014-01-09"
"2014400343","STAGHORN","CORAL",7,"ID","LIV","2014-01-09"
"2014400343","STAGHORN","CORAL",1,"ID","LIV","2014-01-09"
"2014400343","STAGHORN","CORAL",9,"ID","LIV","2014-01-09"
"2014400343","STAGHORN","CORAL",5,"ID","LIV","2014-01-09"
"2014400343","STAGHORN","CORAL",7,"ID","LIV","2014-01-09"
"2014400343","BLUETIP","CORAL",1,"ID","LIV","2014-01-09"
"2014400343","BRUSH","CORAL",2,"ID","LIV","2014-01-09"
"2014400343","","CORAL",3,"ID","LIV","2014-01-09"
"2014400343","BIRDS NEST","CORAL",4,"ID","LIV","2014-01-09"
"2014400343","","CORAL",3,"ID","LIV","2014-01-09"
"2014400343","","CORAL",5,"ID","LIV","2014-01-09"
"2014400343","BOWL","CORAL",5,"ID","LIV","2014-01-09"
"2014400343","ANCHOR","CORAL",23,"ID","LIV","2014-01-09"
"2014400343","ANCHOR","CORAL",6,"ID","LIV","2014-01-09"
"2014400343","TRUMPET","CORAL",30,"ID","LIV","2014-01-09"
"2014400343","STAGHORN","CORAL",1,"ID","LIV","2014-01-09"
"2014400343","","CORAL",1,"ID","LIV","2014-01-09"
"2014400343","STAGHORN","CORAL",8,"ID","LIV","2014-01-09"
"2014400343","STAGHORN","CORAL",9,"ID","LIV","2014-01-09"
"2014400343","STAGHORN","CORAL",10,"ID","LIV","2014-01-09"
"2014400343","STAGHORN","CORAL",1,"ID","LIV","2014-01-09"
"2014400343","STAGHORN","CORAL",7,"ID","LIV","2014-01-09"
"2014400343","","CORAL",3,"ID","LIV","2014-01-09"
"2014400343","","CORAL",4,"ID","LIV","2014-01-09"
"2014400343","STAGHORN","CORAL",7,"ID","LIV","2014-01-09"
"2014400343","","CORAL",2,"ID","LIV","2014-01-09"
"2014400343","STAGHORN","CORAL",2,"ID","LIV","2014-01-09"
"2014400343","STAGHORN","CORAL",3,"ID","LIV","2014-01-09"
"2014400343","","CORAL",1,"ID","LIV","2014-01-09"
"2014400343","","CORAL",3,"ID","LIV","2014-01-09"
"2014400343","TORCH","CORAL",1,"ID","LIV","2014-01-09"
"2014400343","PULSE","CORAL",1,"ID","LIV","2014-01-09"
"2014400343","","CORAL",1,"ID","LIV","2014-01-09"
"2014400343","","CORAL",1,"ID","LIV","2014-01-09"
"2014400343","","CORAL",1,"ID","LIV","2014-01-09"
"2014400435","","OYSTER",2,"AU","SPR","2014-01-06"
"2014400933","PEARL","MUSSEL",47088,"CN","SPR","2014-01-10"
"2014400950","GREAT PEARL","OYSTER",209,"PH","JWL","2014-01-12"
"2014400950","ABALONE","SHELL",143,"NZ","JWL","2014-01-12"
"2014400950","","OYSTER",46,"PF","JWL","2014-01-12"
"2014400950","","SEA FAN",3,"CN","JWL","2014-01-12"
"2014400950","","OYSTER",16,"PH","JWL","2014-01-12"
"2014400998","NORTH AFRICAN","OSTRICH",1,"XX","BOD","2014-01-11"
"2014401093","MUREX","SHELL",21600,"CN","SPR","2014-01-10"
"2014401101","AMERICAN","MINK",328,"GR","SKI","2014-01-13"
"2014401106","TROCHA","SHELL",32004,"JP","SPR","2014-01-04"
"2014401273","RADIATED RAT","SNAKE",792,"ID","SHO","2014-01-02"
"2014401699","CAPIZ","SHELL",520,"PH","SPR","2014-01-14"
"2014401705","CAPIZ","SHELL",342,"PH","SPR","2014-01-14"
"2014402125","AMERICAN","MINK",1000,"GR","SKI","2014-01-13"
"2014402127","AMERICAN","MINK",500,"GR","SKI","2014-01-13"
"2014402128","AMERICAN","MINK",10960,"NL","SKI","2014-01-13"
"2014402135","AMERICAN","MINK",2120,"BA","SKI","2014-01-13"
"2014402137","AMERICAN","MINK",1964,"BA","SKI","2014-01-13"
"2014402139","AMERICAN","MINK",1014,"BA","SKI","2014-01-13"
"2014402140","AMERICAN","MINK",24138,"PL","SKI","2014-01-13"
"2014402147","COHO","SALMON",520,"CA","SPE","2014-01-14"
"2014402158","","OYSTER",2784,"CN","SPR","2014-01-15"
"2014402727","SWAN","MUSSEL",792,"CN","SPR","2014-01-15"
"2014402804","GREAT PEARL","OYSTER",123,"PH","JWL","2014-01-15"
"2014402804","ABALONE","SHELL",111,"NZ","JWL","2014-01-15"
"2014402804","","OYSTER",14,"PF","JWL","2014-01-15"
"2014402804","","SEA FAN",3,"CN","JWL","2014-01-15"
"2014402804","","OYSTER",26,"PH","JWL","2014-01-15"
"2014402986","DOMESTIC WATER","BUFFALO",2,"AU","SKU","2014-01-04"
"2014403733","ABALONE","SHELL",1025,"CN","SPR","2014-01-12"
"2014403733","BAMBOO","CORAL",70,"CN","CPR","2014-01-12"
"2014403733","","OYSTER",782,"CN","SPR","2014-01-12"
"2014403733","GREAT PEARL","OYSTER",116,"CN","SPR","2014-01-12"
"2014403733","","SHELL",52,"CN","SPR","2014-01-12"
"2014403738","CAPIZ","SHELL",1578,"PH","SPR","2014-01-17"
"2014403743","","MUSSEL",2880,"CN","SPR","2014-01-17"
"2014403746","","OYSTER",96,"IN","SPR","2014-01-17"
"2014403749","PEARL","MUSSEL",96,"CN","SPR","2014-01-17"
"2014403749","DOVE","SHELL",96,"CN","SPR","2014-01-17"
"2014403749","","STARFISH",96,"CN","BOD","2014-01-17"
"2014403749","","CLAM",96,"CN","SPR","2014-01-17"
"2014403749","MOON","SHELL",96,"CN","SPR","2014-01-17"
"2014403749","","COWRIE",96,"CN","SPR","2014-01-17"
"2014403749","","CLAM",96,"CN","SPR","2014-01-17"
"2014403749","","NASSA",96,"CN","SPR","2014-01-17"
"2014404349","DOVE","SHELL",180,"CN","SPR","2014-01-17"
"2014404349","","OYSTER",173,"CN","SPR","2014-01-17"
"2014404411","EUROPEAN","RABBIT",394,"AU","GAR","2014-01-16"
"2014404511","GREAT PEARL","OYSTER",1060,"VN","SPR","2014-01-18"
"2014404762","PEARL","MUSSEL",15,"CN","SPR","2014-01-11"
"2014404762","","SEA FAN",3,"CN","SPR","2014-01-11"
"2014404775","DOMESTIC WATER","BUFFALO",1,"AU","TRO","2014-01-11"
"2014405473","","OYSTER",672,"CN","JWL","2014-01-18"
"2014405742","AMERICAN BLACK","BEAR",1,"CA","RUG","2014-01-20"
"2014405763","GREAT PEARL","OYSTER",238,"PH","JWL","2014-01-19"
"2014405763","ABALONE","SHELL",202,"NZ","JWL","2014-01-19"
"2014405763","","OYSTER",45,"PF","JWL","2014-01-19"
"2014405763","","SEA FAN",1,"CN","JWL","2014-01-19"
"2014405763","","OYSTER",24,"PH","JWL","2014-01-19"
"2014405778","","IMPALA",1,"ZA","TRO","2014-01-16"
"2014405778","COMMON","WARTHOG",1,"ZA","TRO","2014-01-16"
"2014405778","BURCHELL'S","ZEBRA",1,"ZA","TRO","2014-01-16"
"2014405808","CHACMA","BABOON",2,"ZA","TRO","2014-01-10"
"2014405808","BLACK-BACKED","JACKAL",1,"ZA","TRO","2014-01-10"
"2014405808","","BLESBOK",2,"ZA","TRO","2014-01-10"
"2014405808","BLUE","WILDEBEEST",1,"ZA","TRO","2014-01-10"
"2014405808","COMMON","ELAND",1,"ZA","TRO","2014-01-10"
"2014405808","","GEMSBOK",1,"ZA","TRO","2014-01-10"
"2014405808","","IMPALA",3,"ZA","TRO","2014-01-10"
"2014405808","GREATER","KUDU",2,"ZA","TRO","2014-01-10"
"2014405808","COMMON","WARTHOG",3,"ZA","TRO","2014-01-10"
"2014405808","","WATERBUCK",1,"ZA","TRO","2014-01-10"
"2014405815","AMERICAN BLACK","BEAR",4,"CA","CLA","2014-01-15"
"2014405815","N. AMERICAN BROWN","BEAR",10,"CA","CLA","2014-01-15"
"2014406385","","STARFISH",23200,"PH","BOD","2014-01-19"
"2014406385","SHELLS","MOLLUSCS",2100,"PH","SPR","2014-01-19"
"2014406385","","SAND DOLLAR",21600,"PH","BOD","2014-01-19"
"2014406392","","LECHWE",1,"ZA","TRO","2014-01-20"
"2014406392","COMMON","ELAND",1,"ZA","TRO","2014-01-20"
"2014406396","","BLESBOK",1,"ZA","TRO","2014-01-20"
"2014406396","BLUE","WILDEBEEST",1,"ZA","TRO","2014-01-20"
"2014406396","COMMON","ELAND",1,"ZA","TRO","2014-01-20"
"2014406396","","IMPALA",2,"ZA","TRO","2014-01-20"
"2014406396","GREATER","KUDU",1,"ZA","TRO","2014-01-20"
"2014406396","","HARTEBEEST",1,"ZA","TRO","2014-01-20"
"2014406396","","STEENBOK",1,"ZA","TRO","2014-01-20"
"2014406396","COMMON","WARTHOG",2,"ZA","TRO","2014-01-20"
"2014406396","BURCHELL'S","ZEBRA",1,"ZA","TRO","2014-01-20"
"2014406402","CHACMA","BABOON",4,"ZA","TRO","2014-01-20"
"2014406402","VERVET","MONKEY",2,"ZA","TRO","2014-01-20"
"2014406402","","BLESBOK",1,"ZA","TRO","2014-01-20"
"2014406402","BLUE","WILDEBEEST",1,"ZA","TRO","2014-01-20"
"2014406402","","GEMSBOK",1,"ZA","TRO","2014-01-20"
"2014406402","","IMPALA",2,"ZA","TRO","2014-01-20"
"2014406402","COMMON","WARTHOG",2,"ZA","TRO","2014-01-20"
"2014406402","","WATERBUCK",2,"ZA","TRO","2014-01-20"
"2014406410","OLIVE","FLOUNDER",168,"KR","LIV","2014-01-22"
"2014406410","","SEA PINEAPPLE",100,"KR","LIV","2014-01-22"
"2014406410","WHIPARM","OCTOPUS",20,"KR","LIV","2014-01-22"
"2014406411","AMERICAN","MINK",19453,"SE","SKI","2014-01-22"
"2014406412","AMERICAN","MINK",1850,"NL","SKI","2014-01-22"
"2014406414","AMERICAN","MINK",11088,"ES","SKI","2014-01-22"
"2014406415","AMERICAN","MINK",2054,"IE","SKI","2014-01-22"
"2014406416","","GOLDFISH",15390,"CN","LIV","2014-01-21"
"2014406416","NEON","TETRA",2900,"CN","LIV","2014-01-21"
"2014406416","","SHRIMP",800,"CN","LIV","2014-01-21"
"2014406419","CAPIZ","SHELL",648,"ID","SPR","2014-01-24"
"2014406419","CAPIZ","SHELL",66,"ID","SPR","2014-01-24"
"2014406421","CAPIZ","SHELL",142,"ID","SPR","2014-01-24"
"2014406429","","MUSSEL",1440,"CN","SPR","2014-01-23"
"2014406429","COMMON","PHEASANT",1872,"CN","FEA","2014-01-23"
"2014406429","SOUTHERN AFRICAN","OSTRICH",4176,"ZA","FEA","2014-01-23"
"2014406518","CRABS,LOBSTERS,","CRUSTACEANS",100,"TH","LIV","2014-01-22"
"2014406788","","BUSHBUCK",1,"ZA","TRO","2014-01-18"
"2014406788","AFRICAN","LION",1,"ZA","TRO","2014-01-18"
"2014406788","AFRICAN","LION",1,"ZA","TRO","2014-01-18"
"2014406788","","NYALA",1,"ZA","TRO","2014-01-18"
"2014406788","COMMON","WARTHOG",1,"ZA","TRO","2014-01-18"
"2014406883","PEARL","MUSSEL",2268,"CN","SPR","2014-01-18"
