"rate_spread","population","minority_population","loan_amount","median_family_income","applicant_income","state","year","applicant_race","applicant_ethnicity","company_name"
3.9,4589,75.19999695,139,58800,95,"TX",2014,"White","Hispanic or Latino","VANDERBILT MORTGAGE (TN)"
5.95,6881,2.99000001,106,64200,45,"IN",2014,"White","Not Hispanic or Latino","VANDERBILT MORTGAGE (TN)"
2.02,6120,9.039999962,171,49900,122,"AR",2014,"White","Not Hispanic or Latino","VANDERBILT MORTGAGE (TN)"
2.74,5951,30.77000046,146,58800,180,"TX",2014,"Information not provided by applicant in mail, Internet, or telephone application","Hispanic or Latino","VANDERBILT MORTGAGE (TN)"
9.66,6036,48.25999832,111,52000,140,"VA",2014,"White","Information not provided by applicant in mail, Internet, or telephone application","VANDERBILT MORTGAGE (TN)"
2.89,4378,70.09999847,110,52000,40,"VA",2014,"Information not provided by applicant in mail, Internet, or telephone application","Information not provided by applicant in mail, Internet, or telephone application","VANDERBILT MORTGAGE (TN)"
4.85,1600,34.13000107,123,52000,39,"VA",2014,"Information not provided by applicant in mail, Internet, or telephone application","Not Hispanic or Latino","VANDERBILT MORTGAGE (TN)"
3.86,6193,53.34999847,110,52000,60,"VA",2014,"White","Information not provided by applicant in mail, Internet, or telephone application","VANDERBILT MORTGAGE (TN)"
5.5,2409,2.24000001,101,58600,69,"IL",2014,"White","Not Hispanic or Latino","VANDERBILT MORTGAGE (TN)"
6.02,2980,23.93000031,113,59200,72,"OK",2014,"White","Not Hispanic or Latino","VANDERBILT MORTGAGE (TN)"
5.01,3840,8.050000191,134,69400,78,"OR",2014,"Information not provided by applicant in mail, Internet, or telephone application","Information not provided by applicant in mail, Internet, or telephone application","VANDERBILT MORTGAGE (TN)"
4.07,1527,39.29000092,115,41500,40,"GA",2014,"White","Information not provided by applicant in mail, Internet, or telephone application","VANDERBILT MORTGAGE (TN)"
2.53,2968,11.25,132,52000,74,"VA",2014,"White","Not Hispanic or Latino","VANDERBILT MORTGAGE (TN)"
2.97,5581,53.56000137,126,43800,47,"MS",2014,"White","Not Hispanic or Latino","VANDERBILT MORTGAGE (TN)"
2.82,7562,9.899999619,108,43800,146,"MS",2014,"White","Information not provided by applicant in mail, Internet, or telephone application","VANDERBILT MORTGAGE (TN)"
6.17,7782,15.60999966,104,61400,196,"OK",2014,"White","Information not provided by applicant in mail, Internet, or telephone application","VANDERBILT MORTGAGE (TN)"
2.99,2363,17.30999947,117,61400,64,"OK",2014,"White","Not Hispanic or Latino","VANDERBILT MORTGAGE (TN)"
4.6,2393,15.71000004,101,51200,80,"OK",2014,"Information not provided by applicant in mail, Internet, or telephone application","Not Hispanic or Latino","VANDERBILT MORTGAGE (TN)"
5.7,6216,51.02999878,103,68400,44,"TX",2014,"White","Hispanic or Latino","VANDERBILT MORTGAGE (TN)"
5.92,3956,53.29000092,105,49500,74,"NC",2014,"Black or African American","Not Hispanic or Latino","VANDERBILT MORTGAGE (TN)"
5.87,6954,19.54000092,114,68400,72,"TX",2014,"White","Not Hispanic or Latino","VANDERBILT MORTGAGE (TN)"
3.97,4907,6.199999809,104,49500,60,"NC",2014,"White","Not Hispanic or Latino","VANDERBILT MORTGAGE (TN)"
2.99,4234,2.150000095,140,52000,105,"VA",2014,"White","Information not provided by applicant in mail, Internet, or telephone application","VANDERBILT MORTGAGE (TN)"
5.02,7465,14.15999985,149,61400,166,"OK",2014,"White","Information not provided by applicant in mail, Internet, or telephone application","VANDERBILT MORTGAGE (TN)"
1.97,3529,44.63000107,114,45300,90,"AR",2014,"White","Not Hispanic or Latino","VANDERBILT MORTGAGE (TN)"
